feature,type,ks_pvalue,psi,js_distance,chi_pvalue
customerID,categorical,,,0.0,1.0
gender,categorical,,,0.0,1.0
SeniorCitizen,numerical,1.0,0.0,,
Partner,categorical,,,0.0,1.0
Dependents,categorical,,,0.0,1.0
tenure,numerical,1.0,0.0,,
PhoneService,categorical,,,0.0,1.0
MultipleLines,categorical,,,0.0,1.0
InternetService,categorical,,,0.0,1.0
OnlineSecurity,categorical,,,0.0,1.0
OnlineBackup,categorical,,,0.0,1.0
DeviceProtection,categorical,,,0.0,1.0
TechSupport,categorical,,,0.0,1.0
StreamingTV,categorical,,,0.0,1.0
StreamingMovies,categorical,,,0.0,1.0
Contract,categorical,,,0.0,1.0
PaperlessBilling,categorical,,,0.0,1.0
PaymentMethod,categorical,,,0.0,1.0
MonthlyCharges,numerical,1.0,0.0,,
TotalCharges,categorical,,,0.0,1.0
Churn,categorical,,,0.0,1.0
